year,area,state
2007,0.7226112667332164,PARÁ
2007,788.5495172094644,MATO GROSSO DO SUL
2007,0.7757709109238871,RONDÔNIA
2007,10.480299971883419,DISTRITO FEDERAL
2007,2.5437512047704796,PARANÁ
2007,1798.3755793568291,TOCANTINS
2007,2010.0107542400085,BAHIA
2007,2833.4525969579454,MARANHÃO
2007,637.5572873210997,PIAUÍ
2007,1989.5196889869628,MATO GROSSO
2007,1504.23827710262,GOIÁS
2007,56.31114929741598,SÃO PAULO
2006,0.13635384844226567,RONDÔNIA
2006,1799.8362449873512,BAHIA
2006,27.364355677114624,DISTRITO FEDERAL
2006,976.1589361209707,PIAUÍ
2006,2791.033259201415,MINAS GERAIS
2006,26.371641936552656,PARANÁ
2006,0.26009889205705655,PARÁ
2006,2375.8777175054543,MARANHÃO
